league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup
FRA-Ligue 1,2324,Lille,Nabil Bentaleb,5,2023,160,914,M S,26,1975,0,0.2938596587628126,0,0.2938596587628126,3,0.6899229548871517,10,14,7,0,7.287905583158135,6.597983036190271
FRA-Ligue 1,2324,Lille,Rémy Cabella,5,2023,160,3390,F M S,30,1458,2,5.502562128007412,2,5.502562128007412,2,3.478668333031237,33,32,0,0,11.917509911581874,5.674406601116061
FRA-Ligue 1,2324,Lille,Samuel Umtiti,5,2023,160,3567,D S,6,184,0,0.0,0,0.0,0,0.0,0,0,0,0,0.6482579112052917,0.6482579112052917
FRA-Ligue 1,2324,Lille,Tiago Morais,5,2023,160,12420,S,3,35,0,0.3163146376609802,0,0.3163146376609802,0,0.0,1,0,0,0,0.3163146376609802,0.0
FRA-Ligue 1,2324,Lille,Tiago Santos,5,2023,160,11756,D S,29,2362,1,1.2542755771428347,1,1.2542755771428347,2,2.645004451274872,33,27,6,0,10.691637087613344,8.113012429326773
FRA-Ligue 1,2324,Lille,Trévis Dago,5,2023,160,12468,S,4,16,0,0.12940369546413422,0,0.12940369546413422,1,0.23098595440387726,1,1,1,0,0.3603896498680115,0.0
FRA-Ligue 1,2324,Lille,Vito Mannone,5,2023,160,726,GK S,2,91,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
FRA-Ligue 1,2324,Lille,Yusuf Yazici,5,2023,160,7756,D F M S,27,1318,5,6.340119296684861,5,6.340119296684861,2,2.655162677168846,40,18,5,0,8.720471452921629,2.335673050954938
FRA-Ligue 1,2324,Lorient,Adrian Grbic,5,2023,179,8653,S,1,28,0,0.11221704632043839,0,0.11221704632043839,0,0.0,2,0,0,0,0.1789318472146988,0.11003397405147552
FRA-Ligue 1,2324,Lorient,Ahmadou Bamba Dieng,5,2023,179,9345,F S,16,530,4,3.5050003714859486,4,3.5050003714859486,1,1.2395724318921566,17,8,3,0,4.980763081461191,0.5460636466741562
FRA-Ligue 1,2324,Lorient,Aiyegun Tosin,5,2023,179,12049,F M S,19,900,2,1.174021172337234,2,1.174021172337234,0,0.31833386421203613,11,7,0,1,2.2476511960849166,0.8045515744015574
FRA-Ligue 1,2324,Lorient,Aurelien Pelon,5,2023,179,11505,D,1,90,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0
FRA-Ligue 1,2324,Lorient,Ayman Kari,5,2023,179,11182,F M S,14,920,1,1.069549836218357,1,1.069549836218357,1,1.0054884646087885,7,13,1,0,3.733618624508381,2.589059414342046
FRA-Ligue 1,2324,Lorient,Badredine Bouanani,5,2023,179,11062,F M S,18,583,1,1.3713798243552446,1,1.3713798243552446,0,1.3446860872209072,19,15,0,0,4.550394618883729,2.4928290117532015
FRA-Ligue 1,2324,Lorient,Bamo Meïté,5,2023,179,9699,D S,18,761,0,0.08617095649242401,0,0.08617095649242401,0,0.011449407786130905,1,1,1,0,3.301255164667964,3.301255164667964
FRA-Ligue 1,2324,Lorient,Bassirou N'Diaye,5,2023,179,12144,S,5,138,0,0.0,0,0.0,0,0.3115178346633911,0,2,0,0,0.4161699377000332,0.12411732599139214
FRA-Ligue 1,2324,Lorient,Benjamin Mendy,5,2023,179,3389,D M S,15,699,2,1.0539637645706534,2,1.0539637645706534,1,2.1505850292742252,13,15,3,0,3.9453737437725067,1.8855689764022827
FRA-Ligue 1,2324,Lorient,Bonke Innocent,5,2023,179,10346,M S,4,211,0,0.07072122395038605,0,0.07072122395038605,0,0.11795753240585327,2,2,1,0,1.19307741522789,1.1648102402687073
FRA-Ligue 1,2324,Lorient,Darline Yongwa,5,2023,179,10844,D S,22,1140,1,1.0311737637966871,1,1.0311737637966871,1,1.50238286703825,15,12,3,0,4.6387044517323375,2.83303383551538
FRA-Ligue 1,2324,Lorient,Dembo Sylla,5,2023,179,11769,S,1,42,0,0.03768537938594818,0,0.03768537938594818,0,0.0,1,0,0,0,0.03768537938594818,0.0
FRA-Ligue 1,2324,Lorient,Eli Junior Kroupi,5,2023,179,11504,F M S,30,1065,5,4.23556845728308,5,4.23556845728308,3,2.0847119065001607,22,11,1,0,7.326598536223173,2.477607460692525
FRA-Ligue 1,2324,Lorient,Formose Mendy,5,2023,179,11770,D S,18,1246,0,0.26530435774475336,0,0.26530435774475336,0,0.1616651751101017,7,2,6,0,2.0882100453600287,1.926544870249927
FRA-Ligue 1,2324,Lorient,Gino Caoki,5,2023,179,12327,S,1,5,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
FRA-Ligue 1,2324,Lorient,Gédéon Kalulu,5,2023,179,10843,D S,19,975,0,0.6428866423666477,0,0.6428866423666477,1,1.1876168716698885,6,8,0,0,3.7274695094674826,2.3100850861519575
FRA-Ligue 1,2324,Lorient,Ibrahima Koné,5,2023,179,10381,S,1,30,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
FRA-Ligue 1,2324,Lorient,Igor Silva,5,2023,179,9661,D S,5,251,0,0.04985778406262398,0,0.04985778406262398,0,0.20471573621034622,1,2,2,0,0.40068452060222626,0.3508267402648926
FRA-Ligue 1,2324,Lorient,Imran Louza,5,2023,179,7278,M S,14,874,1,0.9397605489939451,1,0.9397605489939451,3,3.3334865644574165,22,25,1,0,4.069092675112188,1.7506064726039767
FRA-Ligue 1,2324,Lorient,Jean-Victor Makengo,5,2023,179,3536,F M S,11,476,0,0.18293609283864498,0,0.18293609283864498,0,0.2661716043949127,5,1,0,0,2.061639180406928,1.646923629567027
FRA-Ligue 1,2324,Lorient,Joel Mvuka,5,2023,179,12004,D S,7,189,0,0.029481088742613792,0,0.029481088742613792,0,0.0,1,0,1,0,0.029481088742613792,0.0
FRA-Ligue 1,2324,Lorient,Julien Laporte,5,2023,179,8650,D S,23,1823,0,0.8170445524156094,0,0.8170445524156094,0,0.044015832245349884,13,1,4,0,3.0845659067854285,3.016678139567375
FRA-Ligue 1,2324,Lorient,Julien Ponceau,5,2023,179,11015,F M S,32,2272,3,3.197014134377241,3,3.197014134377241,2,2.7552311634644866,33,35,5,0,10.707108356058598,6.225061770528555
